tool_name,risk,description
get_iban,low,"Get the IBAN of the current bank account."
send_money,high,"Sends a transaction to the recipient."
schedule_transaction,high,"Schedule a transaction."
update_scheduled_transaction,high,"Update a scheduled transaction."
get_balance,low,"Get the balance of the account."
get_most_recent_transactions,low,"Get the list of the most recent transactions, e.g. to summarize the last n transactions."
get_scheduled_transactions,low,"Get the list of scheduled transactions."
read_file,low,"Reads the contents of the file at the given path."
get_user_info,low,"Get the user information."
update_password,high,"Update the user password."
update_user_info,high,"Update the user information."
