tool_name,risk,description
get_channels,low,"Get the list of channels in the slack."
add_user_to_channel,high,"Add a user to a given channel."
read_channel_messages,low,"Read the messages from the given channel."
read_inbox,low,"Read the messages from the given user inbox."
send_direct_message,high,"Send a direct message from author to recipient with the given content."
send_channel_message,high,"Send a channel message from author to channel with the given content."
get_users_in_channel,low,"Get the list of users in the given channel."
invite_user_to_slack,high,"Invites a user to the Slack workspace."
remove_user_from_slack,high,"Remove a user from the Slack workspace."
get_webpage,low,"Returns the content of the webpage at a given URL."
post_webpage,high,"Posts a webpage at a given URL with the given content."
