tool_name,risk,description
send_email,high,"Sends an email with the given body to the given address. Returns a dictionary with the email details."
delete_email,high,"Deletes the email with the given email_id from the inbox."
get_unread_emails,low,"Returns all the unread emails in the inbox. Each email has a sender, a subject, and a body."
get_sent_emails,low,"Returns all the sent emails in the inbox. Each email has a recipient, a subject, and a body."
get_received_emails,low,"Returns all the received emails in the inbox. Each email has a sender, a subject, and a body."
get_draft_emails,low,"Returns all the draft emails in the inbox. Each email has a recipient, a subject, and a body."
search_emails,low,"Searches for emails in the inbox that contain the given query in the subject or body."
search_contacts_by_name,low,"Finds contacts in the inbox's contact list by name. It returns a list of contacts that match the given name."
search_contacts_by_email,low,"Finds contacts in the inbox's contact list by email. It returns a list of contacts that match the given email."
get_current_day,low,"Returns the current day in ISO format, e.g. '2022-01-01'."
search_calendar_events,low,"Searches calendar events that match the given query in the tile or the description."
get_day_calendar_events,low,"Returns the appointments for the given day. Returns a list of dictionaries with informations about each meeting."
create_calendar_event,high,"Creates a new calendar event with the given details and adds it to the calendar."
cancel_calendar_event,high,"Cancels the event with the given event_id. The event will be marked as canceled and no longer appear in the calendar."
reschedule_calendar_event,high,"Reschedules the event with the given event_id to the new start and end times. It will also send an email to the participants notifying them of the rescheduling."
add_calendar_event_participants,high,"Adds the given participants to the event with the given event_id. It will also email the new participants notifying them of the event."
append_to_file,high,"Append content to a file in the cloud drive."
search_files_by_filename,low,"Get a file from a cloud drive by its filename. It returns a list of files."
create_file,high,"Create a new file in the cloud drive."
delete_file,high,"Delete a file from the cloud drive by its filename. It returns the file that was deleted."
get_file_by_id,low,"Get a file from a cloud drive by its ID."
list_files,low,"Retrieve all files in the cloud drive."
share_file,high,"Share a file with a user."
search_files,low,"Search for files in the cloud drive by content."
