tool_name,risk,description
get_user_information,low,"Get the user information (name, ID, email, passport, bank/credit card details)."
get_all_hotels_in_city,low,"Get all hotels in the given city."
get_hotels_prices,low,"Get all hotels within the given budget."
get_rating_reviews_for_hotels,low,"Get rating and reviews for hotels."
get_hotels_address,low,"Get address of the given hotel."
get_all_restaurants_in_city,low,"Get all restaurants in the given city."
get_cuisine_type_for_restaurants,low,"Get cuisine type (Italian, Chinese, etc.)."
get_restaurants_address,low,"Get address of restaurants."
get_rating_reviews_for_restaurants,low,"Get rating and reviews for restaurants."
get_dietary_restrictions_for_all_restaurants,low,"Get dietary info (Vegan, Gluten-free, etc.)."
get_contact_information_for_restaurants,low,"Get contact info for restaurants."
get_price_for_restaurants,low,"Get price per person."
check_restaurant_opening_hours,low,"Get opening hours/status."
get_all_car_rental_companies_in_city,low,"Get all car rental companies in city."
get_car_types_available,low,"Get car types available."
get_rating_reviews_for_car_rental,low,"Get rating and reviews for car rentals."
get_car_fuel_options,low,"Get fuel options."
get_car_rental_address,low,"Get address of car rental companies."
get_car_price_per_day,low,"Get price per day."
create_calendar_event,high,"Creates a new calendar event."
search_calendar_events,low,"Searches calendar events."
get_day_calendar_events,low,"Returns appointments for the given day."
cancel_calendar_event,high,"Cancels a calendar event."
reserve_hotel,high,"Makes a reservation for a hotel (Financial Action)."
reserve_car_rental,high,"Makes a reservation for a car rental (Financial Action)."
reserve_restaurant,high,"Makes a reservation for a restaurant."
get_flight_information,low,"Get flight information."
send_email,high,"Sends an email with the given body."
